KEY	511145-E_coli_Wisniewski_2014_cpc.txt_Unnamed: 1	511145-Ecoli_APEX_arike_2012.txt_Unnamed: 1	511145-Ecoli_Krug_2013.txt_Unnamed: 1	511145-Ecoli_Krug_2013_emPAI.txt_Unnamed: 1	511145-Ecoli_emPAI_arike_2012.txt_Unnamed: 1	511145-Ecoli_iBAQ_arike_2012.txt_Unnamed: 1	511145-Ecoli_strainK12_PRIDE.txt_Unnamed: 1	511145-Escherichia_coli_SC_biomart_12189_E__2reps.txt_Unnamed: 1	511145-Escherichia_coli_SC_biomart_17112_E__2reps.txt_Unnamed: 1	511145-Escherichia_coli_SC_biomart_18119_E__5reps.txt_Unnamed: 1	511145-Escherichia_coli_SC_biomart_29780_E_BTO0000214cellculture_2reps.txt_Unnamed: 1	511145-GPM_201408.txt_Unnamed: 1	511145-Lu_ecoli_2007.txt_Unnamed: 1	511145-PXD020761_Midha_Sci_Data_2020_Ecoli_DIA-SWATH.txt_Unnamed: 1	511145-Taniguchi_2010_Table_S6.txt_Unnamed: 1	511145-WHOLE_ORGANISM-integrated.txt_Unnamed: 1	511145-WT-lewis-peptide_count.txt_Unnamed: 1	511145-ecoli1_HCD_CID_PRIDE.txt_Unnamed: 1	511145-ecoli2_resolutionCombination_PRIDE.txt_Unnamed: 1
b0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
ENSB:TC_ql9IPoUOjz7v	1021	703	546	26.9	560	437	207	719	601	666	467	625	3582	55.0	0	592	334	835	507
ENSB:Wr8Lw-5Lq5ybTy7	296	99.9	250	3.49	56.2	52.0	52.7	416	232	236	95.0	416	127	17.1	0	256	746	1185	125
ENSB:uuIEhPyS6z4d5qN	1102	973	652	12.4	1268	1100	366	952	1503	706	1022	791	5222	104	0	918	1024	1120	657
ENSB:u4DlC1PM6Ow1zQ8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
ENSB:PbtaX2ZIbnL6PZa	137	19.0	175	7.82	41.0	20.2	160	292	67.9	200	22.1	170	0	34.0	156	91.0	61.5	24.9	140
ENSB:aKXFlTaUBrUN3bd	0	0	0	0	0	0	84.2	0	0	0	0	0	0	0	0	1.46	0	0	0
ENSB:XUf3TEiueeQRPF6	4372	2168	2502	35.9	4605	2135	1230	1617	2414	2190	1861	2138	4262	4175	0	2515	1267	4006	2649
ENSB:awSsBJ8jwbqPMf0	250	163	85.9	2.95	59.6	66.1	245	229	175	90.7	70.1	75.9	0	84.7	224	87.9	0	1.95	41.9
ENSB:Za4By_2KlRelW5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
ENSB:DxeZlKv6LUP5yrs	0	0	0	0	0	0	28.9	0	0	0	0	0.039	0	0	0	0.505	0	0	0
ENSB:m9nkSIBlA-fHgG0	0	0	0	0	0	0	24.1	0	0	0	0	0	0	0	0	0.419	0	0	0
ENSB:GFT2YwcirFuEkap	4797	3022	4898	643	4120	2751	5974	1399	5347	5061	3047	4406	5583	5781	25763	6182	1934	16435	5722
ENSB:_QyudZyG2LpeUDC	158	172	258	4.89	96.7	162	172	209	218	316	236	719	547	268	729	242	318	23.3	172
b0016	0	0	0.249	0	0	0	0	0	0	2.31	4.72	3.48	0	0	0	1.3	0	0	1.06
ENSB:S8co08BIKOYrRNQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
ENSB:NKHy6664De1Poaz	0	0	1.64	0.079	0	0	0	0	0	77.6	0	0.596	0	0	0	11.1	0	0	36.0
ENSB:NM5jtlCkpdodPkb	3.85	0	7.05	0.631	0	0	5.24	0	0	0	0	2.54	0	2.26	0	0.925	0	0	0
b0022	0	0	0	0	0	0	15.0	0	0	0	0	6.42	0	0	0	0.515	0	0	0
ENSB:j_l0MDUQ4rp7ALY	6515	1353	1815	24.8	1131	3758	7056	3579	4085	3359	2875	5356	3901	4217	0	4661	25159	4749	5260
b0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
ENSB:dQTKuCROkCGCUCv	83.5	0	82.9	2.07	0	0	7.31	229	0	95.3	0	146	0	29.9	140	39.8	0	2.3	44.6
ENSB:BJ77-AmnMiz_rE1	313	1071	198	11.1	466	510	995	530	440	748	583	494	319	802	678	538	38.7	379	715
ENSB:HmwEgidpv5710lo	0	0	3.76	0.208	0	0	0	17.7	0	0	0	1.78	0	0	0	0.451	0	0	0
ENSB:IC53rINVXrAGFRS	1.44	1213	52.7	1.45	286	316	740	293	292	465	451	136	0	40.3	0	260	0	0	208
ENSB:PcG9wGBklh85xJc	117	10.2	10.3	0.348	32.7	59.1	0	75.0	31.5	213	78.1	111	0	58.2	324	101	344	0	126
ENSB:JCcr_txKYF8h5vL	65.5	421	2.78	0.328	37.1	85.3	0	153	0	0	234	40.2	0	9.29	0	74.6	0	0	5.87
ENSB:Gzh3JIUYfrE6jt8	92.9	428	290	27.1	385	202	91.8	475	113	183	533	373	352	69.2	533	287	41.3	508	84.8
ENSB:kWJiQrFuCEXpeeI	58.6	273	516	64.8	134	331	1117	412	571	841	105	574	1176	189	5047	692	783	605	829
ENSB:k1AVJhcq2tvf1FY	54.2	619	396	15.6	314	299	1191	519	459	1257	434	651	647	349	0	666	433	1504	1210
ENSB:B32wk2Eypk28YZz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
ENSB:WSOD3fC1dQG_MqG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	0	0	0
ENSB:EUljdnj9It9fPMF	73.6	0	0.325	0.155	0	0	31.7	0	0	0	0	1.5	0	0	0	5.84	0	0	0
ENSB:XvFDM-wf5BWXfop	0	0	0	0	0	0	0	0	15.6	0	0	0	0	0	0	0.479	0	0	0
ENSB:mH49vrQnz0ZDbsw	10.3	0	0	0	0	0	13.2	0	15.2	0	0	0	0	0	0	1.42	0	0	0
